"id","chapter","title","content"
"0.1","§0.1","General","This clause does not form an integral part of this Recommendation|InternationalStandard."
"0.2","§0.2","Prologue","As the costs for both processing power and memory have reduced, network support for coded video data has diversified, and advances in video coding technology have progressed, the need has arisen for an industry standard for compressed video representation with substantially increased coding efficiency and enhanced robustness to network environments. Toward these ends the ITU-T Video Coding Experts Group (VCEG) and the ISO/IEC Moving Picture Experts Group (MPEG) formed a Joint Collaborative Team on Video Coding (JCT-VC) in 2010 for development of a new Recommendation|InternationalStandard. This Recommendation|InternationalStandard was developed in the JCT-VC."
"0.3","§0.3","Purpose","This Recommendation|InternationalStandard was developed in response to the growing need for higher compression of moving pictures for various applications such as videoconferencing, digital storage media, television broadcasting, internet streaming, and communications. It is also designed to enable the use of the coded video representation in a flexible manner for a wide variety of network environments as well as to enable the use of multi-core parallel encoding and decoding devices. The use of this Recommendation | International Standard allows motion video to be manipulated as a form of computer data and to be stored on various storage media, transmitted and received over existing and future networks and distributed on existing and future broadcasting channels."
"0.4","§0.4","Applications","This Recommendation|InternationalStandard is designed to cover a broad range of applications for video content including but not limited to the following: - Broadcast (cable TV on optical networks / copper, satellite, terrestrial, etc.) - Camcorders - Content production and distribution - Digital cinema - Home cinema - Internet streaming, download and play - Medical imaging - Mobile streaming, broadcast and communications - Real-time conversational services (videoconferencing, videophone, telepresence, etc.) - Remote video surveillance - Storage media (optical disks, digital video tape recorder, etc.) - Wireless display"
"0.5","§0.5","Publication and versions of this Specification","This Specification has been jointly developed by ITU-T Video Coding Experts Group (VCEG) and the ISO/IEC Moving Picture Experts Group (MPEG). It is published as technically-aligned twin text in both ITU-T and ISO/IEC. As the basis text has been drafted to become both an ITU-T Recommendation and an ISO/IEC International Standard, the term ""Specification"" (with capitalization to indicate that it refers to the whole of the text) is used herein when the text refers to itself. This is the first version of this Specification. Additional versions are anticipated."
"0.6","§0.6","Profiles, tiers and levels","This Recommendation|InternationalStandard is designed to be generic in the sense that it serves a wide range of applications, bit rates, resolutions, qualities, and services. Applications should cover, among other things, digital storage media, television broadcasting and real-time communications. In the course of creating this Specification, various requirements from typical applications have been considered, necessary algorithmic elements have been developed, and these have been integrated into a single syntax. Hence, this Specification will facilitate video data interchange among different applications. Considering the practicality of implementing the full syntax of this Specification, however, a limited number of subsets of the syntax are also stipulated by means of ""profiles"", ""tiers"", and ""levels"". These and other related terms are formally defined in clause3. A ""profile"" is a subset of the entire bitstream syntax that is specified in this Recommendation|InternationalStandard. Within the bounds imposed by the syntax of a given profile it is still possible to require a very large variation in the performance of encoders and decoders depending upon the values taken by syntax elements in the bitstream such as the specified size of the decoded pictures. In many applications, it is currently neither practical nor economic to implement a decoder capable of dealing with all hypothetical uses of the syntax within a particular profile. In order to deal with this problem, ""tiers"" and ""levels"" are specified within each profile. A level of a tier is a specified set of constraints imposed on values of the syntax elements in the bitstream. These constraints may be simple limits on values. Alternatively they may take the form of constraints on arithmetic combinations of values (e.g. picture width multiplied by picture height multiplied by number of pictures decoded per second). A level specified for a lower tier is more constrained than a level specified for a higher tier. Coded video content conforming to this Recommendation|InternationalStandard uses a common syntax. In order to achieve a subset of the complete syntax, flags, parameters, and other syntax elements are included in the bitstream that signal the presence or absence of syntactic elements that occur later in the bitstream."
"0.7","§0.7","Overview of the design characteristics","The coded representation specified in the syntax is designed to enable a high compression capability for a desired image or video quality. The algorithm is typically not lossless, as the exact source sample values are typically not preserved through the encoding and decoding processes. A number of techniques may be used to achieve highly efficient compression. Encoding algorithms (not specified in this Recommendation|InternationalStandard) may select between inter and intra coding for block-shaped regions of each picture. Inter coding uses motion vectors for block-based inter prediction to exploit temporal statistical dependencies between different pictures. Intra coding uses various spatial prediction modes to exploit spatial statistical dependencies in the source signal for a single picture. Motion vectors and intra prediction modes may be specified for a variety of block sizes in the picture. The prediction residual may then be further compressed using a transform to remove spatial correlation inside the transform block before it is quantized, producing a possibly irreversible process that typically discards less important visual information while forming a close approximation to the source samples. Finally, the motion vectors or intra prediction modes may also be further compressed using a variety of prediction mechanisms, and, after prediction, are combined with the quantized transform coefficient information and encoded using arithmetic coding."
"0.8","§0.8","How to read this Specification","It is suggested that the reader starts with clause1 (Scope) and moves on to clause3 (Definitions). Clause6 should be read for the geometrical relationship of the source, input, and output of the decoder. Clause7 (Syntax and semantics) specifies the order to parse syntax elements from the bitstream. See subclauses7.1-7.3 for syntactical order and see subclause7.4 for semantics; e.g. the scope, restrictions, and conditions that are imposed on the syntax elements. The actual parsing for most syntax elements is specified in clause9 (Parsing process). Clause10 (Sub-bitstream extraction process) specifies the sub-bitstream extraction process. Finally, clause8 (Decoding process) specifies how the syntax elements are mapped into decoded samples. Throughout reading this Specification, the reader should refer to clauses2 (Normative references), 4 (Abbreviations), and 5 (Conventions) as needed. AnnexesA throughE also form an integral part of this Recommendation | International Standard. AnnexA specifies profiles each being tailored to certain application domains, and defines the so-called tiers and levels of the profiles. AnnexB specifies syntax and semantics of a byte stream format for delivery of coded video as an ordered stream of bytes. AnnexC specifies the hypothetical reference decoder, bitstream conformance, decoder conformance, and the use of the hypothetical reference decoder to check bitstream and decoder conformance. AnnexD specifies syntax and semantics for supplemental enhancement information message payloads. AnnexE specifies syntax and semantics of the video usability information parameters of the sequence parameter set. Throughout this Specification, statements appearing with the preamble ""NOTE -"" are informative and are not an integral part of this Recommendation | International Standard. 1 Scope This document specifies High efficiency video coding. 2 Normative references"
"2.1","§2.1","General","The following Recommendations and International Standards contain provisions which, through reference in this text, constitute provisions of this Recommendation|InternationalStandard. At the time of publication, the editions indicated were valid. All Recommendations and Standards are subject to revision, and parties to agreements based on this Recommendation|InternationalStandard are encouraged to investigate the possibility of applying the most recent edition of the Recommendations and Standards listed below. Members of IEC and ISO maintain registers of currently valid International Standards. The Telecommunication Standardization Bureau of the ITU maintains a list of currently valid ITU-T Recommendations."
"2.4","§2.4","Additional references","-	Rec. ITU-T T.35 (in force), Procedure for the allocation of ITU-T defined codes for non-standard facilities. -	ISO/IEC 11578: in force, Information technology - Open Systems Interconnection - Remote Procedure Call (RPC). -	ISO 11664-1: in force, Colorimetry - Part 1: CIE standard colorimetric observers. -	ISO 12232: in force, Photography - Digital still cameras - Determination of exposure index, ISO speed ratings, standard output sensitivity, and recommended exposure index. -	IETF RFC 1321 (in force), The MD5 Message-Digest Algorithm. 3 Definitions For the purposes of this Recommendation|InternationalStandard, the following definitions apply:"
"3.1","§3.1","access unit: A set of NAL units that are associated with each other according to a specified classification rule, are consecutive in decoding order, and contain exactly one coded picture.","NOTE1-In addition to containing the VCL NAL units of the coded picture, an access unit may also contain non-VCL NAL units. The decoding of an access unit always results in a decoded picture."
"3.15","§3.15","broken link access (BLA) picture: An IRAP picture for which each VCL NAL unit has nal_unit_type equal to BLA_W_LP, BLA_W_RADL, or BLA_N_LP.","NOTE2-A BLA picture contains only I slices, and may be the first picture in the bitstream in decoding order, or may appear later in the bitstream. Each BLA picture begins a new CVS, and has the same effect on the decoding process as an IDR picture. However, a BLA picture contains syntax elements that specify a non-empty RPS. When a BLA picture for which each VCL NAL unit has nal_unit_type equal to BLA_W_LP, it may have associated RASL pictures, which are not output by the decoder and may not be decodable, as they may contain references to pictures that are not present in the bitstream. When a BLA picture for which each VCL NAL unit has nal_unit_type equal to BLA_W_LP, it may also have associated RADL pictures, which are specified to be decoded. When a BLA picture for which each VCL NAL unit has nal_unit_type equal to BLA_W_RADL, it does not have associated RASL pictures but may have associated RADL pictures. When a BLA picture for which each VCL NAL unit has nal_unit_type equal to BLA_N_LP, it does not have any associated leading pictures."
"3.21","§3.21","chroma: An adjective, represented by the symbols Cb and Cr, specifying that a sample array or single sample is representing one of the two colour difference signals related to the primary colours.","NOTE3-The term chroma is used rather than the term chrominance in order to avoid the implication of the use of linear light transfer characteristics that is often associated with the term chrominance."
